[2025-01-08 09:11:58,351] [semantic.py:269] [INFO] running sam!
[2025-01-08 09:12:02,578] [semantic.py:287] [INFO] Processing '/workspaces/FoodSAM/examples/omelette.jpg'...
[2025-01-08 09:12:05,677] [semantic.py:300] [INFO] sam done!

[2025-01-08 09:12:05,677] [semantic.py:303] [INFO] running semantic seg model!
[2025-01-08 09:12:07,200] [semantic.py:305] [INFO] semantic predict done!

[2025-01-08 09:12:07,200] [semantic.py:308] [INFO] enhance semantic masks
[2025-01-08 09:12:07,226] [enhance_semantic_masks.py:28] [INFO] /workspaces/FoodSAM/examples/semantic/omelette/sam_mask/0 assign label: [ 70, potato, 1.00, 0.0149 ]
[2025-01-08 09:12:07,231] [enhance_semantic_masks.py:28] [INFO] /workspaces/FoodSAM/examples/semantic/omelette/sam_mask/1 assign label: [ 70, potato, 1.00, 0.0252 ]
[2025-01-08 09:12:07,235] [enhance_semantic_masks.py:28] [INFO] /workspaces/FoodSAM/examples/semantic/omelette/sam_mask/2 assign label: [ 70, potato, 0.97, 0.0216 ]
[2025-01-08 09:12:07,241] [enhance_semantic_masks.py:28] [INFO] /workspaces/FoodSAM/examples/semantic/omelette/sam_mask/3 assign label: [ 70, potato, 0.99, 0.0282 ]
[2025-01-08 09:12:07,242] [enhance_semantic_masks.py:28] [INFO] /workspaces/FoodSAM/examples/semantic/omelette/sam_mask/4 assign label: [ 70, potato, 0.99, 0.0078 ]
[2025-01-08 09:12:07,243] [enhance_semantic_masks.py:28] [INFO] /workspaces/FoodSAM/examples/semantic/omelette/sam_mask/5 assign label: [ 31, cherry, 0.57, 0.0031 ]
[2025-01-08 09:12:07,246] [enhance_semantic_masks.py:28] [INFO] /workspaces/FoodSAM/examples/semantic/omelette/sam_mask/6 assign label: [ 70, potato, 0.99, 0.0131 ]
[2025-01-08 09:12:07,315] [enhance_semantic_masks.py:28] [INFO] /workspaces/FoodSAM/examples/semantic/omelette/sam_mask/7 assign label: [ 0, background, 1.00, 0.2958 ]
[2025-01-08 09:12:07,316] [enhance_semantic_masks.py:28] [INFO] /workspaces/FoodSAM/examples/semantic/omelette/sam_mask/8 assign label: [ 47, pork, 0.62, 0.0053 ]
[2025-01-08 09:12:07,317] [enhance_semantic_masks.py:28] [INFO] /workspaces/FoodSAM/examples/semantic/omelette/sam_mask/9 assign label: [ 73, tomato, 0.69, 0.0058 ]
[2025-01-08 09:12:07,318] [enhance_semantic_masks.py:28] [INFO] /workspaces/FoodSAM/examples/semantic/omelette/sam_mask/10 assign label: [ 73, tomato, 0.65, 0.0044 ]
